id,text
carta1n1,Castaño ayudó a Busa a vender versiones impresas del Index Thomisticus en Argentina.
carta1n2,Se refiere a que estén tipeadas en máquina de escribir.
carta1n3,"Se trata del Colegio Aloisianum de Gallarate, provincia de Varese."
carta1n4,Adjetivo superlativo de afecto. Se utiliza en las cartas como fórmula de despedida. También se emplea su abreviatura afmo o affmo. Aquí Busa lo usa an el inicio y cierre de varias cartas con una variante italianizada.
carta2n1,"El Thesaurus Linguae Graecae es hoy un recurso accesible online, aunque para ese entonces circulaba en una versión abreviada solo en papel o CD-Rom."
carta2n2,La lira fue la moneda de Italia desde su unificación hasta su fusión con el euro en 1999.
carta2n3,"Se trata de la Universidad de Irvine en California, institución que participó de la primera reunión del Thesaurus."
melisson1,"Siendo un pobre estudiante en Salamanca, le dixoal Maestro Fray Pedro de Guzman, MercenarioCalzado, hijo del Marques de Baydes, Primo, Yo-tengo de gobernar el Mundo: Respondiole Fray Pedro:(poco estudias para pensar en ver obispo, y replicoD<o>n Gaspar: otra es la ciencia en que yo me desvelo, y ha de servir de escala a mi peregrina exaltacion. Atribuyolo el buen religioso a desvario y ligereza de la edad, comolo refirio despues muchas veces; pero D<o>n Gaspar, (aunque no se lo describio,) se fundaba en que desde entonces comenzo a tener frequentes tratos con hechiceras a quienes creia , yconsultaba, governandose por su direccion. Sucedio esto el anno de 1609. Y a este pensam<ien>to le alento el haver sabido (que decian los Astrologos, que atendida la constelacion del signo en que havia nacido, governaria la Monarquiade Espanna. Por eso en Sevilla donde moro, comunico muchas veces con hechiceras, y lo mismo continuo en Salamanca, y mientras estuvo en el nacimiento; sen<n>aladamente con una natural de S<a>n Martin de Valde Iglesias, a quien con frequencia regalaba, y llamaba a Palacio. Supo que D<o>n Miguel Cervellon tenia pacto con el Demonio, y quiso, que le ensen<n>ase cientas cosas; pero resistiendose este, le hizo prender, y maltratar mucho; mas D<o>nMiguel nunca quiso su amistad (que es cosabien rara) y de cansado D<o>n Gaspar se enfado, y le mando soltar; pero al cabo de mucho tiempo."
melisson2,"Don Gaspar de Guzman nació en Roma en la casa, que fué Palacio de Nerón, siendo embajador Don Enrique su padre, quien en una canoa envenó a Sixto V que murió á seis horas de haverla leido á 27 de Agosto de 1490 y este mismo dia se convirtió á la fe catholica abjurando los errores de Lutero un Duque de el Circulo de Alemania. Alegó el Padre de Don Gaspar esta muerte al Rey por servicio, como testificó quien escribió sus memoriales."
melisson3,"Facilitó y consiguió para Felipe IV las mas obscenas diversiones, y que fascinandole la conciencia le decia, que las Doncellas y las casadas, los Padres y maridos debian a sus Reyes ysoberanos con quanto huviesen y tuviesen y de las damas dela Reyna era la opinion mas corriente; pues decia, que en algoy de alguna manera havia de compensar s. Mag(HAY UNA ABREVIATURA?) lo que gas-taba con todas."
melisson4,"Rocas que erizan la cresta de un monte peñascoso. Suelen simbolizar desafíos, lugares de retiro o de revelación, así como puntos de encuentro entre personajes que buscan guía o consejo, como es el caso de la cueva de Melisso."
