field,display_name,browse_link,external_link,dc_map,schema_map
title,Título,,,DCTERMS.title,headline
alt_title,Titulos alternativos,,,DCTERMS.alt_title,alt_title
creator,Autor/a,,,DCTERMS.creator,creator
editor,Editores/as,,,DCTERMS.editor,editor
date,Fecha de publicacion/creacion,,,DCTERMS.date,dateCreated
location,Lugar de publicacion/creacion,,,,contentLocation
identifier,Identificador en el catálogo de la Biblioteca Nacional,,,DCTERMS.identifier,identifier
identifier2,Identificador en el inventario Foulché Delbosc,,,DCTERMS.identifier2,identifier2
locus,Locus,,,DCTERMS.locus,locus
description,Descripción,,,DCTERMS.description,description
subject,Temas,true,,DCTERMS.subject,keywords
source,Fuente,,,,

